title,ingredients,instructions,cuisine,servings,time_minutes,ingredient_list
Beef Bun Bowl,"beef, bun, tomato, mushroom, corn, mustard, paprika, butter","Cook bun, top with seared beef, fresh tomato, and a drizzle of butter.",American,6,30,150g beef; 1 bun; 2 tomato; 2 mushroom; 1 corn; 1 mustard; 3 paprika; 1 tbsp butter
Shrimp Corn Wrap (Style 2),"shrimp, corn, onion, tomato, cilantro, garlic, sour cream","Fill corn with shrimp, onion, and sour cream, season with cilantro, roll and serve.",Mexican,2,12,250g shrimp; 3 corn; 3 onion; 1 tomato; 3 cilantro; 2 cloves garlic; 1 sour cream
Pork Dumpling Wrappers Bowl (Style 3),"pork, dumpling wrappers, bok choy, carrot, snow peas, sesame oil, garlic, peanut oil","Cook dumpling wrappers, top with seared pork, fresh bok choy, and a drizzle of peanut oil.",Chinese,6,28,400g pork; 2 dumpling wrappers; 1 bok choy; 3 carrot; 1 snow peas; 2 tsp sesame oil; 4 cloves garlic; 1 peanut oil
Shrimp Rice Noodles Baked (Style 2),"shrimp, rice noodles, basil, carrot, bean sprouts, lime, chili, lemongrass, coconut milk","Layer shrimp, basil, and rice noodles, top with coconut milk, bake until golden.",Thai,6,40,200g shrimp; 1 rice noodles; 2 basil; 2 carrot; 2 bean sprouts; 1 lime; 3 chili; 3 lemongrass; 1 cup coconut milk
Chicken Taco Shells Skillet (Style 3),"chicken, taco shells, bell pepper, tomato, cilantro, olive oil","Brown chicken in olive oil, add bell pepper and cilantro, fold in taco shells, cook until done.",Mexican,4,34,200g chicken; 1 taco shells; 3 bell pepper; 3 tomato; 3 cilantro; 1 tbsp olive oil
Chicken Udon Bowl (Style 3),"chicken, udon, spinach, cabbage, seaweed, garlic, sesame oil","Cook udon, top with seared chicken, fresh spinach, and a drizzle of sesame oil.",Japanese,4,27,300g chicken; 3 udon; 2 spinach; 3 cabbage; 3 seaweed; 3 cloves garlic; 1 tsp sesame oil
Beef Corn Salad,"beef, corn, avocado, lettuce, jalapeno, onion, garlic, lime, olive oil","Combine avocado, beef, and corn, dress with olive oil and garlic, toss well.",Mexican,6,16,150g beef; 3 corn; 3 avocado; 1 lettuce; 1 jalapeno; 3 onion; 3 cloves garlic; 3 lime; 2 tbsp olive oil
Chickpeas Naan Baked (Style 2),"chickpeas, naan, cauliflower, tomato, turmeric, garam masala, yogurt","Layer chickpeas, cauliflower, and naan, top with yogurt, bake until golden.",Indian,2,55,3 chickpeas; 2 naan; 3 cauliflower; 3 tomato; 1 turmeric; 3 garam masala; 2 cup yogurt
White Beans Rice Soup,"white beans, rice, tomato, spinach, onion, eggplant, garlic, lemon, mint, olive oil","Simmer white beans, tomato, and garlic in broth, add rice near the end, season and serve.",Mediterranean,4,42,1 white beans; 250g rice; 1 tomato; 2 spinach; 1 onion; 1 eggplant; 2 cloves garlic; 3 lemon; 1 mint; 3 tbsp olive oil
White Beans Gnocchi Curry,"white beans, gnocchi, basil, mushroom, bell pepper, spinach, onion, oregano, garlic, butter","Saute onion, add white beans and basil, simmer in sauce until tender, serve over gnocchi.",Italian,2,34,1 white beans; 3 gnocchi; 1 basil; 3 mushroom; 1 bell pepper; 3 spinach; 1 onion; 1 oregano; 3 cloves garlic; 2 tbsp butter
Chicken Bread Bowl (Style 3),"chicken, bread, tomato, basil, zucchini, bell pepper, onion, oregano, garlic, olive oil","Cook bread, top with seared chicken, fresh tomato, and a drizzle of olive oil.",Italian,3,25,400g chicken; 2 bread; 1 tomato; 2 basil; 3 zucchini; 3 bell pepper; 2 onion; 3 oregano; 3 cloves garlic; 3 tbsp olive oil
Bacon Bread Baked (Style 3),"bacon, bread, bell pepper, lettuce, tomato, mushroom, paprika, garlic, butter","Layer bacon, bell pepper, and bread, top with butter, bake until golden.",American,4,52,3 bacon; 1 bread; 2 bell pepper; 2 lettuce; 1 tomato; 3 mushroom; 1 paprika; 4 cloves garlic; 2 tbsp butter
Turkey Pasta Curry,"turkey, pasta, corn, lettuce, onion, mustard, paprika, garlic, cheese","Saute mustard, add turkey and corn, simmer in sauce until tender, serve over pasta.",American,4,44,3 turkey; 250g pasta; 3 corn; 1 lettuce; 1 onion; 2 mustard; 1 paprika; 4 cloves garlic; 1 cup cheese
Turkey Potato Soup,"turkey, potato, onion, lettuce, mushroom, corn, paprika, mayo","Simmer turkey, onion, and paprika in broth, add potato near the end, season and serve.",American,2,39,1 turkey; 2 potato; 1 onion; 3 lettuce; 2 mushroom; 1 corn; 1 paprika; 2 mayo
Beef Gnocchi Wrap,"beef, gnocchi, basil, bell pepper, tomato, garlic, onion, oregano, parmesan","Fill gnocchi with beef, basil, and parmesan, season with garlic, roll and serve.",Italian,3,14,150g beef; 1 gnocchi; 2 basil; 3 bell pepper; 2 tomato; 4 cloves garlic; 3 onion; 3 oregano; 2 cup parmesan
Egg Orzo Soup (Style 3),"egg, orzo, onion, olive, oregano, garlic, yogurt","Simmer egg, onion, and oregano in broth, add orzo near the end, season and serve.",Mediterranean,2,48,2 egg; 2 orzo; 1 onion; 2 olive; 3 oregano; 3 cloves garlic; 2 cup yogurt
Egg Polenta Wrap (Style 3),"egg, polenta, spinach, tomato, bell pepper, basil, onion, garlic, parmesan","Fill polenta with egg, spinach, and parmesan, season with onion, roll and serve.",Italian,4,10,1 egg; 3 polenta; 3 spinach; 2 tomato; 2 bell pepper; 3 basil; 3 onion; 4 cloves garlic; 2 cup parmesan
Turkey Potato Salad (Style 2),"turkey, potato, corn, lettuce, mushroom, onion, garlic, paprika, mustard, cheese","Combine corn, turkey, and potato, dress with cheese and garlic, toss well.",American,6,10,1 turkey; 3 potato; 1 corn; 3 lettuce; 3 mushroom; 3 onion; 4 cloves garlic; 3 paprika; 1 mustard; 1 cup cheese
Lamb Roti Stir-Fry,"lamb, roti, peas, onion, turmeric, cilantro, yogurt","Heat oil in a wok, stir-fry lamb until cooked, add peas and turmeric, toss with roti and serve hot.",Indian,4,25,150g lamb; 3 roti; 3 peas; 3 onion; 1 turmeric; 1 cilantro; 2 cup yogurt
Shrimp Taco Shells Stir-Fry (Style 2),"shrimp, taco shells, jalapeno, lettuce, tomato, onion, cilantro, cheese","Heat oil in a wok, stir-fry shrimp until cooked, add jalapeno and cilantro, toss with taco shells and serve hot.",Mexican,2,23,300g shrimp; 2 taco shells; 2 jalapeno; 2 lettuce; 1 tomato; 1 onion; 1 cilantro; 1 cup cheese
Chicken Pita Curry (Style 2),"chicken, pita, olive, onion, oregano, yogurt","Saute oregano, add chicken and olive, simmer in sauce until tender, serve over pita.",Mediterranean,6,31,200g chicken; 2 pita; 3 olive; 1 onion; 3 oregano; 2 cup yogurt
Pork Tortilla Salad (Style 3),"pork, tortilla, avocado, jalapeno, tomato, onion, lime, cumin, cilantro, cheese","Combine avocado, pork, and tortilla, dress with cheese and lime, toss well.",Mexican,4,12,200g pork; 2 tortilla; 3 avocado; 2 jalapeno; 3 tomato; 2 onion; 3 lime; 3 cumin; 2 cilantro; 2 cup cheese
Edamame Soba Baked,"edamame, soba, mushroom, cabbage, scallion, spinach, sesame, garlic, vegetable oil","Layer edamame, mushroom, and soba, top with vegetable oil, bake until golden.",Japanese,2,57,1 edamame; 3 soba; 1 mushroom; 2 cabbage; 2 scallion; 2 spinach; 1 sesame; 2 cloves garlic; 2 tbsp vegetable oil
Egg Couscous Pasta (Style 3),"egg, couscous, olive, onion, tomato, cucumber, oregano, lemon, garlic, olive oil","Boil couscous, saute egg with oregano, toss with olive and olive oil.",Mediterranean,6,25,3 egg; 200g couscous; 1 olive; 2 onion; 1 tomato; 2 cucumber; 2 oregano; 3 lemon; 2 cloves garlic; 3 tbsp olive oil
Turkey Bun Baked,"turkey, bun, corn, lettuce, mustard, garlic, mayo","Layer turkey, corn, and bun, top with mayo, bake until golden.",American,3,58,1 turkey; 2 bun; 2 corn; 3 lettuce; 3 mustard; 4 cloves garlic; 3 mayo
Beef Udon Salad,"beef, udon, scallion, mushroom, sesame, ginger, soy sauce, sesame oil","Combine scallion, beef, and udon, dress with sesame oil and sesame, toss well.",Japanese,3,12,300g beef; 3 udon; 2 scallion; 1 mushroom; 2 sesame; 3 tbsp ginger; 2 soy sauce; 1 tsp sesame oil
Beef Udon Wrap,"beef, udon, scallion, cabbage, sesame, vegetable oil","Fill udon with beef, scallion, and vegetable oil, season with sesame, roll and serve.",Japanese,6,12,200g beef; 2 udon; 1 scallion; 2 cabbage; 3 sesame; 2 tbsp vegetable oil
Black Beans Bun Skillet,"black beans, bun, bell pepper, onion, garlic, olive oil","Brown black beans in olive oil, add bell pepper and garlic, fold in bun, cook until done.",American,2,35,1 black beans; 3 bun; 1 bell pepper; 3 onion; 4 cloves garlic; 1 tbsp olive oil
Turkey Bread Pasta,"turkey, bread, bell pepper, mushroom, tomato, onion, paprika, mustard, olive oil","Boil bread, saute turkey with paprika, toss with bell pepper and olive oil.",American,3,26,3 turkey; 2 bread; 3 bell pepper; 1 mushroom; 1 tomato; 3 onion; 1 paprika; 3 mustard; 2 tbsp olive oil
White Beans Rice Salad,"white beans, rice, eggplant, onion, garlic, yogurt","Combine eggplant, white beans, and rice, dress with yogurt and garlic, toss well.",Mediterranean,6,11,2 white beans; 400g rice; 1 eggplant; 3 onion; 3 cloves garlic; 1 cup yogurt
Beef Udon Tacos,"beef, udon, spinach, cabbage, seaweed, garlic, soy sauce, sesame, sesame oil","Cook beef with garlic, load into udon with spinach and sesame oil.",Japanese,4,29,400g beef; 3 udon; 2 spinach; 2 cabbage; 2 seaweed; 2 cloves garlic; 3 soy sauce; 2 sesame; 2 tsp sesame oil
Egg Gnocchi Bowl (Style 3),"egg, gnocchi, basil, spinach, oregano, parmesan","Cook gnocchi, top with seared egg, fresh basil, and a drizzle of parmesan.",Italian,4,20,2 egg; 1 gnocchi; 2 basil; 1 spinach; 2 oregano; 2 cup parmesan
Egg Risotto Rice Skillet (Style 2),"egg, risotto rice, tomato, mushroom, garlic, oregano, onion, parmesan","Brown egg in parmesan, add tomato and garlic, fold in risotto rice, cook until done.",Italian,6,30,1 egg; 1 risotto rice; 3 tomato; 2 mushroom; 4 cloves garlic; 1 oregano; 1 onion; 2 cup parmesan
Egg Bread Tacos (Style 3),"egg, bread, tomato, zucchini, bell pepper, garlic, parmesan","Cook egg with garlic, load into bread with tomato and parmesan.",Italian,4,24,1 egg; 2 bread; 2 tomato; 1 zucchini; 3 bell pepper; 3 cloves garlic; 2 cup parmesan
Pork Rice Noodles Curry (Style 2),"pork, rice noodles, carrot, bell pepper, bean sprouts, basil, lemongrass, vegetable oil","Saute lemongrass, add pork and carrot, simmer in sauce until tender, serve over rice noodles.",Thai,4,45,200g pork; 2 rice noodles; 1 carrot; 3 bell pepper; 1 bean sprouts; 3 basil; 2 lemongrass; 2 tbsp vegetable oil
Egg Noodles Stir-Fry (Style 2),"egg, noodles, bok choy, broccoli, snow peas, ginger, vegetable oil","Heat oil in a wok, stir-fry egg until cooked, add bok choy and ginger, toss with noodles and serve hot.",Chinese,4,25,3 egg; 150g noodles; 3 bok choy; 1 broccoli; 1 snow peas; 2 tbsp ginger; 2 tbsp vegetable oil
Chickpeas Roti Salad,"chickpeas, roti, cauliflower, peas, cumin, garlic, turmeric, coconut milk","Combine cauliflower, chickpeas, and roti, dress with coconut milk and cumin, toss well.",Indian,6,17,3 chickpeas; 2 roti; 1 cauliflower; 1 peas; 2 cumin; 3 cloves garlic; 1 turmeric; 2 cup coconut milk
Paneer Roti Stir-Fry (Style 3),"paneer, roti, cauliflower, tomato, peas, onion, cilantro, cumin, ghee","Heat oil in a wok, stir-fry paneer until cooked, add cauliflower and cilantro, toss with roti and serve hot.",Indian,2,20,150g paneer; 2 roti; 2 cauliflower; 2 tomato; 1 peas; 3 onion; 2 cilantro; 3 cumin; 1 tbsp ghee
Beef Taco Shells Skillet (Style 3),"beef, taco shells, onion, jalapeno, tomato, lime, sour cream","Brown beef in sour cream, add onion and lime, fold in taco shells, cook until done.",Mexican,4,25,400g beef; 3 taco shells; 3 onion; 3 jalapeno; 3 tomato; 3 lime; 2 sour cream
White Beans Bread Tacos,"white beans, bread, spinach, basil, zucchini, oregano, garlic, olive oil","Cook white beans with oregano, load into bread with spinach and olive oil.",Italian,2,30,3 white beans; 1 bread; 1 spinach; 1 basil; 1 zucchini; 1 oregano; 3 cloves garlic; 2 tbsp olive oil
Turkey Bun Skillet (Style 2),"turkey, bun, mushroom, corn, bell pepper, garlic, paprika, mayo","Brown turkey in mayo, add mushroom and garlic, fold in bun, cook until done.",American,4,26,2 turkey; 1 bun; 2 mushroom; 1 corn; 3 bell pepper; 2 cloves garlic; 1 paprika; 3 mayo
Black Beans Pasta Salad,"black beans, pasta, mushroom, onion, lettuce, bell pepper, mustard, garlic, mayo","Combine mushroom, black beans, and pasta, dress with mayo and mustard, toss well.",American,2,10,2 black beans; 400g pasta; 3 mushroom; 2 onion; 2 lettuce; 2 bell pepper; 3 mustard; 2 cloves garlic; 1 mayo
Salmon Udon Stir-Fry,"salmon, udon, carrot, spinach, seaweed, mushroom, soy sauce, ginger, garlic, vegetable oil","Heat oil in a wok, stir-fry salmon until cooked, add carrot and soy sauce, toss with udon and serve hot.",Japanese,2,21,400g salmon; 1 udon; 2 carrot; 1 spinach; 3 seaweed; 3 mushroom; 3 soy sauce; 1 tbsp ginger; 2 cloves garlic; 2 tbsp vegetable oil
Salmon Ramen Noodles Stir-Fry (Style 2),"salmon, ramen noodles, mushroom, spinach, miso, sesame, sesame oil","Heat oil in a wok, stir-fry salmon until cooked, add mushroom and miso, toss with ramen noodles and serve hot.",Japanese,2,20,300g salmon; 1 ramen noodles; 1 mushroom; 3 spinach; 2 miso; 2 sesame; 2 tsp sesame oil
Shrimp Pasta Wrap,"shrimp, pasta, bell pepper, tomato, zucchini, garlic, onion, oregano, olive oil","Fill pasta with shrimp, bell pepper, and olive oil, season with garlic, roll and serve.",Italian,2,11,300g shrimp; 150g pasta; 3 bell pepper; 3 tomato; 1 zucchini; 3 cloves garlic; 2 onion; 3 oregano; 2 tbsp olive oil
Chickpeas Roti Skillet,"chickpeas, roti, peas, tomato, turmeric, garlic, yogurt","Brown chickpeas in yogurt, add peas and turmeric, fold in roti, cook until done.",Indian,4,25,2 chickpeas; 1 roti; 2 peas; 3 tomato; 3 turmeric; 3 cloves garlic; 2 cup yogurt
Chicken Tortilla Wrap,"chicken, tortilla, onion, avocado, tomato, bell pepper, cumin, garlic, lime, olive oil","Fill tortilla with chicken, onion, and olive oil, season with cumin, roll and serve.",Mexican,2,11,250g chicken; 2 tortilla; 1 onion; 2 avocado; 2 tomato; 1 bell pepper; 3 cumin; 2 cloves garlic; 2 lime; 2 tbsp olive oil
Egg Polenta Curry (Style 2),"egg, polenta, bell pepper, basil, tomato, spinach, oregano, garlic, parmesan","Saute oregano, add egg and bell pepper, simmer in sauce until tender, serve over polenta.",Italian,2,44,2 egg; 3 polenta; 1 bell pepper; 2 basil; 2 tomato; 3 spinach; 1 oregano; 3 cloves garlic; 2 cup parmesan
White Beans Bulgur Soup (Style 3),"white beans, bulgur, tomato, eggplant, parsley, yogurt","Simmer white beans, tomato, and parsley in broth, add bulgur near the end, season and serve.",Mediterranean,4,36,3 white beans; 300g bulgur; 1 tomato; 3 eggplant; 2 parsley; 2 cup yogurt
Beef Tortilla Soup (Style 2),"beef, tortilla, bell pepper, tomato, lettuce, lime, cumin, sour cream","Simmer beef, bell pepper, and lime in broth, add tortilla near the end, season and serve.",Mexican,2,37,200g beef; 2 tortilla; 2 bell pepper; 3 tomato; 3 lettuce; 2 lime; 3 cumin; 3 sour cream
Beef Udon Bowl (Style 3),"beef, udon, seaweed, scallion, ginger, sesame, miso, vegetable oil","Cook udon, top with seared beef, fresh seaweed, and a drizzle of vegetable oil.",Japanese,4,28,250g beef; 3 udon; 2 seaweed; 2 scallion; 2 tbsp ginger; 1 sesame; 2 miso; 1 tbsp vegetable oil
Paneer Roti Salad (Style 2),"paneer, roti, spinach, onion, peas, cauliflower, cilantro, garam masala, turmeric, ghee","Combine spinach, paneer, and roti, dress with ghee and cilantro, toss well.",Indian,4,13,400g paneer; 2 roti; 2 spinach; 3 onion; 1 peas; 1 cauliflower; 3 cilantro; 3 garam masala; 1 turmeric; 3 tbsp ghee
Egg Soba Stir-Fry,"egg, soba, carrot, scallion, mushroom, cabbage, soy sauce, sesame, ginger, sesame oil","Heat oil in a wok, stir-fry egg until cooked, add carrot and soy sauce, toss with soba and serve hot.",Japanese,2,25,3 egg; 2 soba; 3 carrot; 1 scallion; 2 mushroom; 1 cabbage; 2 soy sauce; 1 sesame; 2 tbsp ginger; 2 tsp sesame oil
Lamb Bulgur Soup (Style 3),"lamb, bulgur, eggplant, tomato, spinach, oregano, garlic, mint, olive oil","Simmer lamb, eggplant, and oregano in broth, add bulgur near the end, season and serve.",Mediterranean,4,36,150g lamb; 200g bulgur; 1 eggplant; 3 tomato; 2 spinach; 3 oregano; 3 cloves garlic; 1 mint; 3 tbsp olive oil
White Beans Rice Stir-Fry,"white beans, rice, spinach, cucumber, oregano, feta","Heat oil in a wok, stir-fry white beans until cooked, add spinach and oregano, toss with rice and serve hot.",Mediterranean,3,22,1 white beans; 300g rice; 1 spinach; 1 cucumber; 3 oregano; 250g feta
Chicken Bread Bowl,"chicken, bread, zucchini, bell pepper, mushroom, garlic, oregano, onion, olive oil","Cook bread, top with seared chicken, fresh zucchini, and a drizzle of olive oil.",Italian,4,25,300g chicken; 2 bread; 1 zucchini; 2 bell pepper; 1 mushroom; 4 cloves garlic; 3 oregano; 1 onion; 2 tbsp olive oil
Egg Soba Wrap,"egg, soba, mushroom, cabbage, sesame, vegetable oil","Fill soba with egg, mushroom, and vegetable oil, season with sesame, roll and serve.",Japanese,4,15,2 egg; 2 soba; 1 mushroom; 3 cabbage; 1 sesame; 3 tbsp vegetable oil
Egg Soba Soup,"egg, soba, spinach, mushroom, soy sauce, ginger, vegetable oil","Simmer egg, spinach, and soy sauce in broth, add soba near the end, season and serve.",Japanese,4,45,1 egg; 1 soba; 3 spinach; 1 mushroom; 3 soy sauce; 3 tbsp ginger; 3 tbsp vegetable oil
Chicken Noodles Baked,"chicken, noodles, bell pepper, broccoli, bok choy, snow peas, sesame oil, garlic, soy sauce, peanut oil","Layer chicken, bell pepper, and noodles, top with peanut oil, bake until golden.",Chinese,4,43,400g chicken; 250g noodles; 2 bell pepper; 2 broccoli; 3 bok choy; 3 snow peas; 2 tsp sesame oil; 4 cloves garlic; 1 soy sauce; 3 peanut oil
Lentils Basmati Rice Stir-Fry (Style 2),"lentils, basmati rice, cauliflower, tomato, turmeric, ginger, cumin, yogurt","Heat oil in a wok, stir-fry lentils until cooked, add cauliflower and turmeric, toss with basmati rice and serve hot.",Indian,6,20,2 lentils; 200g basmati rice; 1 cauliflower; 1 tomato; 1 turmeric; 3 tbsp ginger; 1 cumin; 1 cup yogurt
Pork Taco Shells Skillet,"pork, taco shells, onion, avocado, jalapeno, cilantro, cheese","Brown pork in cheese, add onion and cilantro, fold in taco shells, cook until done.",Mexican,4,21,300g pork; 2 taco shells; 1 onion; 1 avocado; 1 jalapeno; 3 cilantro; 2 cup cheese
Egg Tortilla Soup (Style 2),"egg, tortilla, bell pepper, lettuce, lime, garlic, cheese","Simmer egg, bell pepper, and lime in broth, add tortilla near the end, season and serve.",Mexican,6,47,3 egg; 1 tortilla; 1 bell pepper; 1 lettuce; 1 lime; 4 cloves garlic; 2 cup cheese
Egg Taco Shells Pasta,"egg, taco shells, onion, tomato, bell pepper, jalapeno, cilantro, lime, cumin, cheese","Boil taco shells, saute egg with cilantro, toss with onion and cheese.",Mexican,3,28,1 egg; 1 taco shells; 3 onion; 1 tomato; 3 bell pepper; 3 jalapeno; 1 cilantro; 3 lime; 3 cumin; 2 cup cheese
Beef Dumpling Wrappers Stir-Fry (Style 2),"beef, dumpling wrappers, bell pepper, scallion, snow peas, broccoli, soy sauce, sesame oil, ginger, peanut oil","Heat oil in a wok, stir-fry beef until cooked, add bell pepper and soy sauce, toss with dumpling wrappers and serve hot.",Chinese,6,15,150g beef; 3 dumpling wrappers; 1 bell pepper; 3 scallion; 1 snow peas; 2 broccoli; 3 soy sauce; 2 tsp sesame oil; 1 tbsp ginger; 1 peanut oil
Lamb Basmati Rice Bowl (Style 2),"lamb, basmati rice, onion, tomato, spinach, turmeric, ginger, garlic, coconut milk","Cook basmati rice, top with seared lamb, fresh onion, and a drizzle of coconut milk.",Indian,3,28,200g lamb; 300g basmati rice; 2 onion; 2 tomato; 2 spinach; 3 turmeric; 1 tbsp ginger; 2 cloves garlic; 2 cup coconut milk
Black Beans Bun Skillet (Style 2),"black beans, bun, lettuce, tomato, corn, bell pepper, paprika, garlic, mustard, butter","Brown black beans in butter, add lettuce and paprika, fold in bun, cook until done.",American,3,21,2 black beans; 3 bun; 3 lettuce; 2 tomato; 3 corn; 1 bell pepper; 2 paprika; 4 cloves garlic; 3 mustard; 1 tbsp butter
White Beans Polenta Skillet (Style 3),"white beans, polenta, mushroom, zucchini, bell pepper, oregano, garlic, olive oil","Brown white beans in olive oil, add mushroom and oregano, fold in polenta, cook until done.",Italian,6,23,1 white beans; 2 polenta; 1 mushroom; 3 zucchini; 2 bell pepper; 3 oregano; 3 cloves garlic; 3 tbsp olive oil
Egg Pasta Baked,"egg, pasta, bell pepper, mushroom, oregano, onion, garlic, olive oil","Layer egg, bell pepper, and pasta, top with olive oil, bake until golden.",Italian,2,53,1 egg; 200g pasta; 1 bell pepper; 1 mushroom; 3 oregano; 3 onion; 3 cloves garlic; 2 tbsp olive oil
Salmon Soba Baked (Style 3),"salmon, soba, carrot, mushroom, ginger, miso, vegetable oil","Layer salmon, carrot, and soba, top with vegetable oil, bake until golden.",Japanese,4,42,300g salmon; 2 soba; 3 carrot; 1 mushroom; 3 tbsp ginger; 2 miso; 2 tbsp vegetable oil
Salmon Rice Salad (Style 2),"salmon, rice, carrot, seaweed, miso, sesame, soy sauce, vegetable oil","Combine carrot, salmon, and rice, dress with vegetable oil and miso, toss well.",Japanese,4,13,200g salmon; 200g rice; 3 carrot; 2 seaweed; 1 miso; 3 sesame; 3 soy sauce; 2 tbsp vegetable oil
Shrimp Polenta Baked,"shrimp, polenta, basil, bell pepper, garlic, oregano, onion, olive oil","Layer shrimp, basil, and polenta, top with olive oil, bake until golden.",Italian,2,58,200g shrimp; 2 polenta; 2 basil; 1 bell pepper; 4 cloves garlic; 3 oregano; 2 onion; 2 tbsp olive oil
Egg Naan Skillet,"egg, naan, onion, peas, tomato, ginger, yogurt","Brown egg in yogurt, add onion and ginger, fold in naan, cook until done.",Indian,3,22,3 egg; 2 naan; 1 onion; 1 peas; 2 tomato; 1 tbsp ginger; 1 cup yogurt
Salmon Ramen Noodles Soup,"salmon, ramen noodles, spinach, cabbage, ginger, soy sauce, sesame, sesame oil","Simmer salmon, spinach, and ginger in broth, add ramen noodles near the end, season and serve.",Japanese,6,44,300g salmon; 1 ramen noodles; 2 spinach; 3 cabbage; 3 tbsp ginger; 2 soy sauce; 3 sesame; 2 tsp sesame oil
Salmon Ramen Noodles Wrap (Style 2),"salmon, ramen noodles, scallion, carrot, ginger, miso, vegetable oil","Fill ramen noodles with salmon, scallion, and vegetable oil, season with ginger, roll and serve.",Japanese,4,11,200g salmon; 1 ramen noodles; 2 scallion; 3 carrot; 1 tbsp ginger; 2 miso; 2 tbsp vegetable oil
Egg Couscous Tacos (Style 2),"egg, couscous, eggplant, onion, mint, lemon, garlic, olive oil","Cook egg with mint, load into couscous with eggplant and olive oil.",Mediterranean,2,24,3 egg; 250g couscous; 1 eggplant; 3 onion; 1 mint; 1 lemon; 4 cloves garlic; 2 tbsp olive oil
Beef Soba Pasta (Style 3),"beef, soba, carrot, cabbage, seaweed, spinach, soy sauce, vegetable oil","Boil soba, saute beef with soy sauce, toss with carrot and vegetable oil.",Japanese,3,30,200g beef; 1 soba; 2 carrot; 1 cabbage; 3 seaweed; 1 spinach; 2 soy sauce; 2 tbsp vegetable oil
Chicken Corn Pasta (Style 3),"chicken, corn, avocado, tomato, onion, bell pepper, garlic, cumin, lime, cheese","Boil corn, saute chicken with garlic, toss with avocado and cheese.",Mexican,4,25,300g chicken; 1 corn; 2 avocado; 2 tomato; 3 onion; 2 bell pepper; 3 cloves garlic; 1 cumin; 2 lime; 2 cup cheese
Edamame Udon Curry (Style 3),"edamame, udon, mushroom, carrot, cabbage, soy sauce, vegetable oil","Saute soy sauce, add edamame and mushroom, simmer in sauce until tender, serve over udon.",Japanese,6,36,1 edamame; 3 udon; 2 mushroom; 3 carrot; 2 cabbage; 3 soy sauce; 1 tbsp vegetable oil
Chicken Potato Stir-Fry,"chicken, potato, peas, onion, spinach, ginger, garlic, yogurt","Heat oil in a wok, stir-fry chicken until cooked, add peas and ginger, toss with potato and serve hot.",Indian,2,17,400g chicken; 2 potato; 2 peas; 1 onion; 3 spinach; 3 tbsp ginger; 4 cloves garlic; 1 cup yogurt
Beef Rice Salad (Style 3),"beef, rice, avocado, tomato, cilantro, cumin, sour cream","Combine avocado, beef, and rice, dress with sour cream and cilantro, toss well.",Mexican,2,14,200g beef; 400g rice; 3 avocado; 1 tomato; 1 cilantro; 2 cumin; 1 sour cream
Egg Taco Shells Curry,"egg, taco shells, tomato, jalapeno, lettuce, lime, cumin, olive oil","Saute lime, add egg and tomato, simmer in sauce until tender, serve over taco shells.",Mexican,3,32,2 egg; 2 taco shells; 1 tomato; 1 jalapeno; 2 lettuce; 1 lime; 3 cumin; 3 tbsp olive oil
Feta Rice Curry (Style 3),"feta, rice, cucumber, spinach, oregano, yogurt","Saute oregano, add feta and cucumber, simmer in sauce until tender, serve over rice.",Mediterranean,4,30,200g feta; 300g rice; 2 cucumber; 2 spinach; 3 oregano; 2 cup yogurt
Egg Bulgur Salad (Style 2),"egg, bulgur, olive, tomato, garlic, oregano, parsley, olive oil","Combine olive, egg, and bulgur, dress with olive oil and garlic, toss well.",Mediterranean,3,10,1 egg; 250g bulgur; 3 olive; 2 tomato; 4 cloves garlic; 1 oregano; 1 parsley; 3 tbsp olive oil
Chicken Taco Shells Baked,"chicken, taco shells, onion, tomato, lettuce, cumin, cheese","Layer chicken, onion, and taco shells, top with cheese, bake until golden.",Mexican,4,48,150g chicken; 3 taco shells; 3 onion; 2 tomato; 1 lettuce; 3 cumin; 1 cup cheese
Feta Pita Tacos (Style 2),"feta, pita, cucumber, eggplant, olive, mint, parsley, lemon","Cook feta with mint, load into pita with cucumber and feta.",Mediterranean,2,20,400g feta; 2 pita; 1 cucumber; 2 eggplant; 2 olive; 3 mint; 2 parsley; 1 lemon
Beef Taco Shells Stir-Fry (Style 2),"beef, taco shells, tomato, jalapeno, onion, cilantro, garlic, cumin, sour cream","Heat oil in a wok, stir-fry beef until cooked, add tomato and cilantro, toss with taco shells and serve hot.",Mexican,4,20,300g beef; 3 taco shells; 3 tomato; 1 jalapeno; 1 onion; 3 cilantro; 2 cloves garlic; 3 cumin; 3 sour cream
Edamame Rice Baked (Style 2),"edamame, rice, spinach, seaweed, soy sauce, sesame, ginger, vegetable oil","Layer edamame, spinach, and rice, top with vegetable oil, bake until golden.",Japanese,3,50,1 edamame; 250g rice; 1 spinach; 2 seaweed; 1 soy sauce; 3 sesame; 2 tbsp ginger; 1 tbsp vegetable oil
Lamb Orzo Baked (Style 3),"lamb, orzo, onion, cucumber, oregano, feta","Layer lamb, onion, and orzo, top with feta, bake until golden.",Mediterranean,4,49,400g lamb; 2 orzo; 1 onion; 1 cucumber; 3 oregano; 250g feta
